Thrace (Turkey);tgn,7001317;is:pleiades:1001889
Thrace (Greece);tgn,7002756;is:pleiades:1001889
Thracia;tgn,7001303;is:pleiades:1001889,is:pleiades:991371
Thessaly (Greece);tgn,7001399;is:pleiades:1001895,is:pleiades:991374,is:pleiades:1332
Tesalia (Colombia);tgn,1024035;is:pleiades:1001895,is:pleiades:991374,is:pleiades:1332
Greece (Greece);tgn,1000074;is:pleiades:1001896
Grecia (Costa Rica);tgn,1016230;is:pleiades:1001896
Italy (Italy);tgn,1000080;is:pleiades:1052
Aardenburg (Netherlands);tgn,1047597;is:pleiades:108722
Ablis (France);tgn,1031683;is:pleiades:108723
Sens (France);tgn,7008255;is:pleiades:108729
Ardres (France);tgn,7008649;is:pleiades:108752
Artenay (France);tgn,7008665;is:pleiades:108758
Asse (Belgium);tgn,1026293;is:pleiades:108762
Audun-le-Tiche (France);tgn,4000951;is:pleiades:108767
Bad Bertrich (Rheinland-Pfalz, Germany);tgn,1038312;is:pleiades:108783
Bad Durkheim (Rheinland-Pfalz, Germany);tgn,7012953;is:pleiades:108784
Bad Neuenahr-Ahrweiler (Rheinland-Pfalz, Germany);tgn,1038357;is:pleiades:108786
Bailleul (France);tgn,7008936;is:pleiades:108789
Barentin (France);tgn,1032015;is:pleiades:108790
Bazoches (France);tgn,5000966;is:pleiades:108794
Beckinghausen (North Rhine-Westphalia, Germany);tgn,1004066;is:pleiades:108797
Bendorf (Rheinland-Pfalz, Germany);tgn,7012387;is:pleiades:108804
Bergisch Gladbach (North Rhine-Westphalia, Germany);tgn,7012390;is:pleiades:108807
Blankenheim (North Rhine-Westphalia, Germany);tgn,1038549;is:pleiades:108810
Borbetomagus (Rheinland-Pfalz, Germany);tgn,7005108;is:pleiades:108820
Burgheim (Bavaria, Germany);tgn,1038696;is:pleiades:108821
Bruges (Belgium);tgn,7007867;is:pleiades:108830
Brunoy (France);tgn,7008977;is:pleiades:108832
Butzbach (Hesse, Germany);tgn,1038709;is:pleiades:108839
Cany-Barville (France);tgn,7009003;is:pleiades:108855
Le Catelet (France);tgn,1033843;is:pleiades:108869
Charleville (France);tgn,4002541;is:pleiades:108878
Charleville (Queensland, Australia);tgn,7001952;is:pleiades:108878
Charleville (France);tgn,7009020;is:pleiades:108878
Libreville (Gabon);tgn,1090020;is:pleiades:108878
Chatillon (France);tgn,1032522;is:pleiades:108884,is:pleiades:69488,is:pleiades:108883
Chatillon (Italy);tgn,1044196;is:pleiades:108884,is:pleiades:69488,is:pleiades:108883
Chelles (France);tgn,5001514;is:pleiades:108887
Chelles (France);tgn,7008004;is:pleiades:108887
Ciney (Belgium);tgn,1026373;is:pleiades:108891
Coriovallum (Netherlands);tgn,7006860;is:pleiades:108908
Damery (France);tgn,7008344;is:pleiades:108919
Dinglingen (Baden-Wurttemberg, Germany);tgn,1038822;is:pleiades:108926
Metz (France);tgn,7008418;is:pleiades:108927
Domburg (Netherlands);tgn,7006751;is:pleiades:108929
Dourdan (France);tgn,1032972;is:pleiades:108932
Dourges (France);tgn,1032973;is:pleiades:108933
Durocatalaunum (France);tgn,7008339;is:pleiades:108944
Echternach (Luxembourg);tgn,7012312;is:pleiades:108955
Einville (France);tgn,1033005;is:pleiades:108957
Ermont (France);tgn,1033027;is:pleiades:108964,is:pleiades:786036
Estrees (France);tgn,6001931;is:pleiades:108969
Etaples (France);tgn,7009166;is:pleiades:108970
Ettlingen (Baden-Wurttemberg, Germany);tgn,7012448;is:pleiades:108971
Flobecq (Belgium);tgn,7007880;is:pleiades:108983
Florsheim (Hesse, Germany);tgn,1039090;is:pleiades:108986
Friesenheim (Baden-Wurttemberg, Germany);tgn,7005176;is:pleiades:108995
Gamaches (France);tgn,1033230;is:pleiades:108999
Gelduba (North Rhine-Westphalia, Germany);tgn,7005980;is:pleiades:109002
